| Coritiba             | Ceara                |     0 x 2     | 2021-02-20 |
----------------------------------------------------------------------------
| Coritiba             | Palmeiras            |     1 x 0     | 2021-02-17 |
----------------------------------------------------------------------------
| Coritiba             | Gremio               |     1 x 1     | 2021-01-31 |
----------------------------------------------------------------------------
| Coritiba             | Fluminense           |     3 x 3     | 2021-01-20 |
----------------------------------------------------------------------------
| Coritiba             | Athletico-PR         |     0 x 0     | 2021-01-09 |
----------------------------------------------------------------------------
| Coritiba             | Goias                |     1 x 2     | 2021-01-06 |
----------------------------------------------------------------------------
| Coritiba             | Botafogo-RJ          |     1 x 2     | 2020-12-19 |
----------------------------------------------------------------------------
| Coritiba             | Bragantino           |     0 x 0     | 2020-12-05 |
----------------------------------------------------------------------------
| Coritiba             | Corinthians          |     0 x 1     | 2020-11-25 |
----------------------------------------------------------------------------
| Coritiba             | Bahia                |     1 x 2     | 2020-11-16 |
----------------------------------------------------------------------------
| Coritiba             | Atletico-GO          |     1 x 0     | 2020-10-31 |
----------------------------------------------------------------------------
| Coritiba             | Santos               |     1 x 2     | 2020-10-17 |
----------------------------------------------------------------------------
| Coritiba             | Fortaleza            |     0 x 0     | 2020-10-10 |
----------------------------------------------------------------------------
| Coritiba             | Sao Paulo            |     1 x 1     | 2020-10-04 |
----------------------------------------------------------------------------
| Coritiba             | Vasco                |     1 x 0     | 2020-09-20 |
----------------------------------------------------------------------------
| Coritiba             | Atletico-MG          |     0 x 1     | 2020-09-06 |
----------------------------------------------------------------------------
| Coritiba             | Sport                |     1 x 0     | 2020-08-30 |
----------------------------------------------------------------------------
| Coritiba             | Flamengo             |     0 x 1     | 2020-08-15 |
----------------------------------------------------------------------------
| Coritiba             | Internacional        |     0 x 1     | 2020-08-08 |
----------------------------------------------------------------------------
